term	ttf	df
wanted 	76653085	5355200
edge 	76649493	6053749
trop 	76642112	2565082
wheat 	76639331	3493568
started 	76633863	6373542
统 	76614679	579284
270 	76614671	9281947
solutions 	76600131	4584987
instrument 	76598048	6897857
皇 	76570066	1028141
fer 	76554175	6437194
visit 	76553554	5801366
이 	76536695	73205
completely 	76520641	7027323
shares 	76494620	3587955
historia 	76489060	2611442
travail 	76452699	2378074
1923 	76428615	4682380
世界 	76427748	883992
fear 	76368324	5643400
kein 	76362562	1950676
къ 	76353271	194008
刊 	76327815	1044576
damage 	76312587	5073854
danger 	76266034	6895348
command 	76220200	5175788
素 	76088248	1118635
بن 	76087019	306169
quo 	76066062	4419365
達 	76052223	854180
specified 	76044157	5127251
pues 	76032342	1236376
lat 	76029669	3998777
いと 	76008071	490105
selection 	76006249	6356423
dated 	75986680	4452939
xx 	75948529	7387283
seit 	75932749	2039321
1898 	75864735	4725953
frage 	75862616	2263736
combination 	75819456	6446019
hatten 	75805304	1781525
miller 	75787493	4988061
233 	75782372	9899822
max 	75754847	5788897
printing 	75732425	5468282
mente 	75679910	3547959
goes 	75674745	6982171
rapid 	75672245	6548682
mars 	75549538	3739055
1924 	75520138	4881518
差 	75495596	1100464
expense 	75483613	5677231
ireland 	75478857	3481956
citizens 	75427954	4768627
900 	75416548	6593865
地方 	75379705	957477
combined 	75322160	6959188
2003 	75317217	1828887
parallel 	75296455	6517188
reduce 	75289019	6671170
allfields:titl 	75270347	3482008
毛 	75267854	1106388
injury 	75264971	4169912
生活 	75261352	854846
generale 	75248930	3081320
clay 	75220353	4498200
concrete 	75200331	4730733
count 	75187821	6304481
shape 	75179467	6433919
军 	75150066	478089
労 	75146436	469034
vt 	75142054	3608828
она 	75140863	670487
mile 	75135478	5109478
227 	75125534	10007905
calculated 	75122564	5381548
processing 	75120803	3193047
clinical 	75108590	1938136
當 	75097190	479684
永 	75074213	1115224
権 	75056234	523539
218 	75049861	9858902
1944 	75026311	4503230
jamais 	75022175	2022828
largely 	75018099	6494198
hotel 	74997312	5034493
一个 	74961273	300087
arm 	74957211	6771564
consists 	74925160	6435622
limits 	74919248	6639898
conducted 	74910106	6454700
allfieldsProper:title 	74902309	3398752
serie 	74888132	3978541
发展 	74880759	199350
occasion 	74877280	6803723
232 	74846350	9825089
fifth 	74842178	6679923
regarding 	74839122	6326640
231 	74830495	9720279
japanese 	74823601	3296450
ale 	74788708	3757857
opera 	74729216	6794499
jours 	74719761	1984581
running 	74693453	6544808
lives 	74617043	6287084
filled 	74614328	6719596
subsequent 	74603105	6585693
mountain 	74599123	5006121
般 	74586854	1063432
finding 	74574647	6689314
opened 	74524874	6223067
quelle 	74518792	3290093
farmers 	74505728	3810845
tried 	74477730	6294661
的に 	74448140	468991
argument 	74442172	6515911
plates 	74441040	4450646
rapport 	74432530	2841087
diameter 	74426858	3413613
1899 	74402174	4661683
districts 	74384110	4339099
improved 	74318749	6279358
張 	74308411	836697
beaucoup 	74286040	1799410
grandes 	74269484	3081784
failed 	74243372	6307871
еще 	74236590	649011
quale 	74221494	1009876
226 	74210436	9886860
tive 	74182664	8016383
总 	74178495	532429
proc 	74152320	3219609
stations 	74136199	4746329
accordance 	74114636	5436915
allfields:uiu 	74100074	1888241
allfieldsProper:uiu 	74100074	1888241
1890 	74098727	5168376
garden 	74076335	5295529
pipe 	74071283	4136514
xvi 	74061393	6723247
russian 	74019777	3478919
rt 	74001971	5712499
229 	73931841	9908057
术 	73904197	514600
人民 	73898164	755225
branches 	73882591	6428194
drive 	73867239	5918546
wild 	73858040	6014621
の一 	73819380	511043
にあ 	73806649	507373
察 	73786093	1093268
額 	73774313	798550
火 	73758243	1110639
255 	73752917	9492890
questa 	73750184	774679
xiii 	73720580	7340455
ki 	73714284	4200513
报 	73708422	540735
dalla 	73679753	992446
machines 	73670417	4418878
1943 	73646585	4378359
228 	73618999	9875940
cos 	73592123	4645802
245 	73535043	9630514
pri 	73529820	6701378
政治 	73502740	800872
片 	73499880	1074710
machen 	73471091	1902423
weather 	73466644	5273138
lies 	73428604	8257239
alexander 	73415849	5784339
quelque 	73406912	1848259
establishment 	73398963	6005313
angle 	73392135	4802484
予 	73391222	1050581
ici 	73383697	2942151
301 	73368233	8431190
のと 	73361680	503306
porte 	73327636	3417014
父 	73324400	1064823
كه 	73310318	306878
ye 	73291074	4495111
頭 	73266423	839834
carolina 	73243713	3833677
stadt 	73243294	2025776
sep 	73217292	5280459
welfare 	73215874	4817581
daher 	73210100	1719765
sia 	73208393	2959105
rare 	73193291	7607004
communications 	73183539	4932345
marriage 	73139305	4149910
politica 	73131772	1760197
allfieldsProper:pst 	73118244	747158
allfields:pst 	73118244	747158
人の 	73093396	499341
contents 	73085371	8260505
learned 	73072396	5957812
testimony 	73071477	3710459
guerre 	73027663	2279159
320 	73013223	8545716
tiempo 	73006955	1266331
щ 	72994175	858297
早 	72963398	1117806
authors 	72946171	5352161
fees 	72939700	3878794
greatly 	72910386	6855581
sowie 	72885589	1740682
assez 	72873093	1750076
doctor 	72873091	5534344
魔 	72865067	989082
ture 	72840084	8003119
travel 	72839885	5838968
responsibility 	72834987	5608575
engineers 	72748304	3708263
severe 	72732789	6862851
battle 	72732754	4765499
seulement 	72647272	1831471
equivalent 	72606723	6391895
assumed 	72603881	6586018
fore 	72549801	7052541
ik 	72538059	3300215
check 	72439380	6191982
它 	72412113	592074
bills 	72343156	3625472
275 	72321186	9292400
avons 	72313862	1686257
sheet 	72313532	5094341
substance 	72288607	5745758
属 	72286819	967476
mixed 	72273965	6202702
2.5 	72260576	4872789
mag 	72251333	5655519
234 	72251055	9657707
etiam 	72249101	1172556
positions 	72238472	6543708
soul 	72219506	4178129
cc 	72198335	4920850
mt 	72195356	4839063
bodies 	72191837	6072154
往 	72179515	1053421
sign 	72178013	6883375
cars 	72168647	3651826
largest 	72161422	6296926
grund 	72155412	2257563
waters 	72104472	5071483
eller 	72085742	788822
强 	72076322	609247
wm 	72062769	3946345
chamber 	72058956	4681805
attack 	72030795	5308629
とて 	72013722	498106
2nd 	72012431	4521472
allfields:uiuc 	71994680	1807036
allfieldsProper:uiuc 	71994674	1807034
mois 	71980842	2245989
oxford 	71948586	5435966
速 	71930017	1089049
強 	71917228	757184
supported 	71902125	6477839
difficulty 	71830987	6635991
変 	71826555	593010
mills 	71822640	4130712
highway 	71795043	3468292
abb 	71786431	1101425
構 	71782956	803954
ح 	71763065	325741
examined 	71761713	6206401
りま 	71735687	470062
aut 	71721773	2423483
fran 	71709543	4928494
很 	71709446	620429
foi 	71704745	2863241
से 	71687619	85394
allfieldsProper:uiug 	71667770	1733378
allfields:uiug 	71667770	1733378
sta 	71662300	6442232
结 	71660465	391530
export 	71643194	3191820
fell 	71633237	6234576
承 	71567964	1100144
宮 	71530924	801940
otro 	71484731	1323662
乃 	71479416	976111
contracts 	71473937	3835411
beautiful 	71370830	4701740
のも 	71344433	510964
に対 	71318886	397953
steps 	71303970	6822248
草 	71301220	1094357
counties 	71298068	3149165
tempo 	71289548	3763995
estimates 	71230473	4532135
wire 	71218323	3902588
たい 	71213160	493402
please 	71191676	5610687
選 	71189050	804544
feeling 	71179995	5464622
forty 	71098645	5903720
1897 	71098253	4571574
generation 	71086229	7007521
いま 	71071798	472185
0.2 	71068302	3122788
detailed 	71060799	6654667
大学 	71057282	638021
welt 	71014309	2311927
albert 	71007684	5682225
dependent 	70976652	6735903
eo 	70973234	4619830
components 	70969154	3867028
queen 	70931928	4135100
electron 	70928466	1345586
237 	70906711	9690877
resulting 	70886627	6139462
雨 	70877881	1064360
build 	70877574	6519102
玉 	70875901	1088200
setting 	70866274	6937367
うと 	70863257	479300
stood 	70841103	5431101
mouth 	70834045	5325250
efficiency 	70832754	4854361
防 	70829273	1059054
skin 	70813239	4434844
husband 	70811587	4078273
おい 	70808971	487501
實 	70777185	578698
pais 	70775381	1910194
chose 	70750913	5692957
measurements 	70732899	3241946
親 	70730823	856369
bij 	70724665	682530
patent 	70685989	3746243
external 	70677992	5298354
accept 	70651838	6342982
末 	70641533	1095402
suppose 	70626842	5870231
apparatus 	70595830	4068128
kinds 	70587503	6589808
pointed 	70574454	6642715
noble 	70565435	5935650
断 	70543574	966144
乙 	70530925	1006820
sites 	70455067	4529273
reste 	70441011	2758899
feed 	70387855	4808376
davis 	70387272	4635428
l'etat 	70353117	1886675
3d 	70350073	3522979
cambridge 	70344661	5604391
allfields:type 	70341473	1669544
allfieldsProper:type 	70323856	1658720
破 	70294366	1093489
walls 	70276898	5448474
bereits 	70270694	1645959
の中 	70243101	495648
consumption 	70236420	4236908
radiation 	70233340	2179477
fee 	70219985	4924407
carrying 	70193264	6601420
roads 	70183891	4608869
classification 	70152181	5405069
難 	70141028	858802
settlement 	70123862	4320355
wasser 	70104831	1680425
d'autres 	70101108	1886415
gray 	70090082	4979366
vision 	70059593	7349871
協 	70036304	768903
室 	70024020	1101880
everything 	70009691	5514850
qua 	70004394	4531378
twelve 	69933984	6342053
1895 	69931734	4731346
cancer 	69927393	2595498
1.2 	69904981	4814925
239 	69903242	9593726
十五 	69898714	978186
311 	69897468	8168838
sul 	69897466	3475138
dear 	69885598	4353666
車 	69879195	899933
256 	69870045	9291300
l'autre 	69860941	1825172
talk 	69848833	5229573
column 	69845231	4835306
etaient 	69842282	1537984
memory 	69833398	5399990
developing 	69806102	5636365
241 	69799240	9355492
wegen 	69790345	1906598
если 	69767615	563753
252 	69766721	9349058
از 	69748515	236615
様 	69733062	641478
estos 	69721533	1171992
exports 	69702706	1991275
stop 	69684238	6668152
cours 	69682871	2530031
variation 	69669328	5686944
242 	69647944	9508957
moving 	69632988	6618561
别 	69579607	625482
251 	69556036	9225444
236 	69541373	9574231
valuable 	69491651	6689909
youth 	69455483	4826232
富 	69425024	1120640
apparently 	69406128	6175447
送 	69373623	1074109
adequate 	69365050	6229059
tre 	69361182	5189016
nec 	69347436	3186061
chemistry 	69336528	3209151
star 	69317775	6041097
雄 	69296228	1092801
vehicle 	69288108	3787516
たる 	69238597	500214
nord 	69238213	3411646
seite 	69238211	1841717
ships 	69232864	4657194
mineral 	69228644	4212720
thin 	69222999	5319901
越 	69218737	1108782
238 	69198987	9553613
card 	69191789	5086549
sens 	69191560	2973385
她 	69186080	652716
hommes 	69183173	1867434
243 	69177129	9512906
衛 	69168151	767876
wa 	69122104	5880168
examples 	69120028	6141541
asia 	69084570	4615244
ly 	69079169	5955578
otra 	69053057	1267786
spent 	69052241	6321868
admitted 	69041117	5156515
450 	69025905	7596129
rapidly 	69002925	6352470
249 	68999492	9377205
sell 	68974075	5200460
需 	68971557	956905
lived 	68967416	5714851
dazu 	68966563	1771230
たも 	68961065	504809
愛 	68950935	870145
apparent 	68945964	7293729
crime 	68928916	4773351
solche 	68911271	1745563
248 	68893715	9322947
cual 	68869006	1160880
alternative 	68838558	6176129
働 	68837444	585501
elizabeth 	68821452	3862997
lang 	68783023	4227194
oc 	68780530	7076743
lib 	68753586	3616724
244 	68751442	9451032
1896 	68737542	4619912
amend 	68734344	2393627
群 	68703378	1062080
einige 	68698757	2066594
parliament 	68630039	2755137
variable 	68615090	5186040
ness 	68610198	6392941
える 	68579569	482262
deutsche 	68575023	2873055
這 	68564971	506178
capable 	68556334	7349510
ah 	68550712	6724516
略 	68534645	1089828
310 	68529240	8259839
265 	68494521	9222612
время 	68480007	570517
spain 	68457027	3941929
像 	68456739	1085153
avoid 	68450049	6894952
continuous 	68412362	5879656
bas 	68410830	4843713
और 	68397252	77207
规 	68379187	531639
cattle 	68371163	3808080
vessel 	68345112	3688289
離 	68327369	839582
copies 	68309931	5741030
prix 	68308239	1970822
余 	68294207	1023740
passing 	68255780	6594471
todas 	68232373	1433553
銀 	68231078	770471
條 	68207816	649714
directors 	68194770	3485551
applicable 	68194568	5460516
attached 	68183611	6343796
minute 	68170281	6985263
african 	68160248	3381150
poco 	68159250	1899351
improve 	68158195	6235141
crown 	68117170	4510023
gibt 	68091972	1658494
learn 	68089116	6073836
opposite 	68056597	6384471
谷 	68045440	1065496
stream 	68033239	5495852
寸 	68031145	1013186
game 	68005157	5061573
objects 	67999637	5436163
博 	67995545	1094263
magnetic 	67993506	2352578
spanish 	67951569	4145208
秋 	67946485	1094867
concern 	67914655	6387668
dabei 	67842466	1723985
presidente 	67832836	1421605
253 	67831595	9330262
millions 	67819599	4997716
sat 	67787620	5845145
expansion 	67733237	5950896
contribution 	67713340	6572862
bell 	67704207	5929931
wien 	67686177	2596552
lewis 	67672136	4804792
welcher 	67651200	1702694
angeles 	67643994	3767838
亡 	67639641	1072629
见 	67630976	585516
macht 	67630649	2008361
干 	67604680	1075143
maintained 	67580546	6558987
interpretation 	67554204	6611609
leaving 	67546020	6829731
adj 	67483683	810813
fluid 	67442442	3206107
periods 	67422200	6386104
francis 	67409501	5140200
desired 	67380007	6349994
acting 	67379890	6132533
necessity 	67375876	6196438
linear 	67356766	3214890
jusqu'a 	67326920	1894790
getting 	67324185	5822439
mid 	67319635	6534755
seu 	67314583	2330463
τησ 	67263920	121430
ikke 	67260313	176525
rat 	67241980	5040692
gleich 	67232268	1864023
devant 	67199362	1904514
closely 	67132447	7116868
treaty 	67095581	2578265
360 	67089883	8032630
perfect 	67081980	6103364
皆 	67074323	1023541
taylor 	67054376	4900543
clause 	67045497	3133599
daniel 	67033948	5604086
ib 	67031580	4266533
附 	67028209	1047849
sao 	67025401	2063276
257 	67010198	9224898
remaining 	66996198	7084741
堂 	66987755	1094695
legislative 	66960767	3752075
wash 	66958279	4968379
佛 	66949773	729108
enfin 	66902023	1747920
curve 	66893469	3686449
247 	66835992	9442185
样 	66828999	445468
courses 	66825966	5010563
trouble 	66814207	6413253
broken 	66758914	6685467
n'y 	66756949	1855553
演 	66719012	1065227
330 	66714684	8146854
coll 	66713601	2518314
concept 	66713402	4771298
consequence 	66686890	6783328
kansas 	66658900	2966933
nas 	66653646	3330009
delivered 	66634170	5557796
quatre 	66626113	2107809
liability 	66583842	2825447
stat 	66567540	3294095
organized 	66552558	5184019
2004 	66548486	1693890
allein 	66506566	1790049
div 	66415845	2290480
treasury 	66414563	3399914
allfields:wu 	66370097	1022329
allfieldsProper:wu 	66370077	1022317
290 	66363850	8613477
東京 	66363170	629522
app 	66325835	2151611
wer 	66314672	3311284
tor 	66275962	7970092
図 	66267409	533591
suggest 	66256003	6232828
despues 	66240472	1128666
reg 	66237373	4013991
312 	66221695	8215445
县 	66201415	443771
254 	66198083	9174529
夕 	66144978	969665
greek 	66136565	3909386
店 	66130709	1007741
birds 	66114423	3934400
たこ 	66112780	478592
statements 	66097549	5367967
mussen 	66085408	1782968
employer 	66081961	3320715
246 	66080646	9316786
tho 	66072966	3402949
navy 	66038774	3265357
prime 	66034495	6796219
305 	66027940	8318037
menos 	65940687	1389411
schedule 	65907673	3764766
占 	65901074	1045721
souvent 	65894097	1721357
么 	65883105	648934
stores 	65873325	4237504
關 	65854785	549573
オ 	65835820	580706
birth 	65819187	5483697
走 	65810591	1052085
regarded 	65791187	6016721
kommt 	65767427	1787287
夜 	65761486	1056532
ett 	65759139	1282056
network 	65734363	3641684
番 	65727575	1065812
phone 	65724165	2941371
controlled 	65720755	5612046
kommen 	65712982	1934461
のこ 	65706197	494300
delivery 	65696749	4308090
instruments 	65682446	6000063
quia 	65655149	1572157
1891 	65652065	4594601
303 	65646778	8360839
inside 	65641585	6102926
chair 	65637872	5288649
equally 	65597263	6735559
secure 	65595388	5974820
批 	65595308	1002782
座 	65583390	1081224
arbeit 	65561003	1946573
vid 	65560768	1692924
philosophy 	65551461	4749363
dort 	65549293	2406071
ift 	65543349	1186905
cn 	65535241	4081053
saying 	65486436	5280932
vu 	65481504	3780600
einmal 	65470009	1762839
securities 	65469546	1954519
recognized 	65395851	5953687
recommended 	65311392	5514561
jahren 	65306308	1851714
quanto 	65303818	1241070
award 	65245239	2986217
sido 	65244496	1513866
grown 	65230371	5889445
句 	65215813	1007079
ли 	65166313	928194
thee 	65145510	2408415
serait 	65121457	1615833
低 	65111577	1058193
ages 	65103035	6833700
girl 	65084632	3929492
異 	65011699	850801
soft 	65005160	5559052
262 	64991168	9067765
ties 	64988223	7238838
ends 	64987901	6491141
register 	64957580	5014129
meetings 	64953312	4866207
organic 	64946810	3697194
管理 	64909207	712610
holy 	64903422	3698745
revised 	64891877	5228432
决 	64891563	643788
believed 	64889311	6269835
когда 	64885616	555077
ن 	64878143	362406
272 	64864203	8971399
eben 	64848672	2080922
petit 	64833478	3389577
應 	64832254	660094
ص 	64779020	329209
識 	64755669	832249
261 	64745626	9015992
imports 	64731816	2246896
florida 	64693438	3977629
spread 	64677555	6662821
国家 	64673037	567775
toda 	64661381	1672272
roma 	64654424	3094307
doctrine 	64649029	4156563
よる 	64638410	495531
guerra 	64627634	1938254
tale 	64625254	4967434
勢 	64620574	843953
israel 	64593390	3794561
boundary 	64584300	4058884
absolute 	64557104	6836388
madrid 	64555026	3358074
斯 	64545949	904514
1893 	64512215	4527177
savings 	64460792	3229376
洋 	64448500	1046803
i'm 	64445744	3259594
enim 	64416223	1091446
alter 	64373470	7634887
n.y 	64348285	2521325
την 	64339617	116701
bishop 	64330977	3492794
273 	64327025	8933980
neuen 	64320771	2055087
しな 	64320125	501746
ka 	64309242	4629514
曾 	64305747	982719
hin 	64297587	3325378
けれ 	64292310	484113
karl 	64291359	4161095
jersey 	64283313	4227705
ideal 	64260259	7338030
specimens 	64244312	3300074
indians 	64219537	2823319
pan 	64219272	6748898
treasurer 	64203177	2746180
1894 	64179684	4481585
葉 	64166210	797954
电 	64148052	484995
какъ 	64136650	114562
sam 	64135938	5634986
empire 	64127040	4847741
bl 	64112561	3990487
259 	64108093	9112780
露 	64103255	1102948
費 	64081825	780601
ese 	64047678	2526753
losses 	64036732	4414722
萬 	63990070	687211
密 	63955008	1105425
333 	63953367	8204161
distinct 	63944137	6682547
264 	63925881	8993148
tissue 	63914999	2396757
かに 	63899744	504145
克 	63876806	986117
黄 	63857184	979261
stato 	63848700	1057183
广 	63848211	706121
stelle 	63839217	2148095
1892 	63839154	4496895
vero 	63835116	1870004
refer 	63828116	6709381
価 	63819822	488339
brain 	63795794	3841858
しま 	63769554	494391
263 	63769374	9077703
主义 	63764449	217800
258 	63749885	9047749
sets 	63721891	6550137
節 	63714189	847450
313 	63710676	8183671
allfields:3 	63701187	5724486
allfieldsProper:3 	63701187	5724486
nouvelle 	63688283	2577735
領 	63662716	837140
decrease 	63657111	4688898
285 	63653123	8840025
よっ 	63638902	469125
drawing 	63636578	6165630
path 	63634591	5846055
つた 	63627999	453028
jun 	63593797	3429379
chance 	63580926	7336753
岡 	63576706	773334
hogy 	63573686	84989
super 	63556558	6987599
きた 	63534698	493655
speaking 	63530231	6210099
請 	63525801	823862
inspection 	63511893	5027269
wage 	63500432	3730515
adult 	63500406	3915938
阿 	63497973	1036269
reform 	63483586	4478657
從 	63482666	510635
ント 	63478070	505153
普 	63429377	1103021
extensive 	63420980	6595391
たけ 	63408822	487330
flowers 	63403184	3878439
確 	63388686	826280
consent 	63385670	4631082
induced 	63375257	4558535
flat 	63375027	5827564
earnings 	63371900	2473012
observation 	63342374	6683209
gene 	63336497	5827099
assume 	63322928	6815442
equations 	63320231	1903628
可以 	63289087	580610
также 	63282992	562431
pere 	63275253	2932446
estas 	63251488	1395592
tage 	63231638	4852689
wrong 	63231108	5783972
document 	63224831	5390315
甘 	63201983	1018900
ln 	63180050	4078815
271 	63133382	8865732
moreover 	63057305	5663244
accident 	63048848	5338498
斗 	63045852	969372
save 	63045013	6253124
declared 	63038104	4805974
jackson 	63017853	4213543
sodium 	62997615	1905320
recovery 	62996212	4593517
remarks 	62993771	5436314
typical 	62989587	5643175
267 	62980629	9032614
266 	62973053	8924681
tional 	62972151	6079082
scott 	62954251	4916256
быть 	62952252	559447
ρ 	62942594	162467
substantial 	62933033	5746412
uniform 	62887529	6284192
cosi 	62878874	967543
witness 	62874406	4346315
たり 	62845732	507698
под 	62834216	731747
certificate 	62824800	2970714
formula 	62803006	5475822
competition 	62762412	4788965
creation 	62731776	6405748
cycle 	62723926	4589637
esto 	62702267	1635465
finden 	62699344	1821356
bir 	62697993	1544023
vita 	62694494	2829494
战 	62682862	564054
removal 	62669867	5106638
tv 	62659167	5167496
波 	62652807	1099966
待 	62627703	1094542
oxygen 	62619695	2282836
sought 	62618993	6114303
illustrated 	62615855	5577823
我们 	62612491	230226
clark 	62608016	4402172
thick 	62597758	4795113
device 	62579629	4435610
circle 	62571974	5393214
release 	62521171	4973476
theatre 	62489722	3674308
remember 	62470611	5476348
tradition 	62387651	5848742
fellow 	62346255	5194490
株 	62344816	900573
gia 	62324954	2199461
των 	62318570	121826
ц 	62317519	1065386
mortgage 	62315426	1861523
gott 	62304116	1974031
safe 	62296215	6235220
gobierno 	62277569	964841
ネ 	62265373	580609
girls 	62252240	3892132
conseil 	62247783	1670424
grave 	62242132	7019824
marketing 	62234635	2793923
mainly 	62213014	5940841
269 	62212496	8957027
statistical 	62188105	4443632
grounds 	62156242	5717987
s'est 	62150108	1745924
央 	62140318	1002447
ae 	62124071	5361023
仕 	62097486	916442
vos 	62080150	3421482
hr 	62078836	3470209
frame 	62077579	5555509
將 	62076030	505850
reader 	62047844	5259215
cion 	62034945	1669072
darauf 	62010728	1726830
contrary 	62007637	5943475
步 	62004847	755247
mention 	61977570	6942706
уже 	61968510	590107
aircraft 	61948429	1906126
るに 	61942761	492540
expenditure 	61936365	3702716
ganzen 	61934698	1786434
parti 	61934445	5226000
apart 	61921167	6794777
exception 	61900906	7472396
writer 	61815237	4740764
線 	61808454	789868
1889 	61802151	4620190
277 	61753414	8869184
preceding 	61745156	6006516
liegt 	61736404	1809497
場合 	61719496	540169
temple 	61717861	4762648
営 	61711746	590143
были 	61692840	543573
束 	61674596	1065853
tes 	61673960	5877368
rocks 	61664504	3548391
officials 	61659694	4281042
ved 	61651550	1506982
自己 	61650690	827734
第三 	61644260	974039
281 	61598153	8654692
pen 	61593988	8075201
mixture 	61560339	4438295
登 	61556825	1114907
ooo 	61543941	3523738
receiving 	61534610	5987158
れを 	61525242	501368
meine 	61521065	1799759
曲 	61512657	1104020
ministry 	61484204	3333543
ocean 	61471362	4893471
hij 	61457121	467607
かて 	61451295	499045
模 	61442422	1061519
295 	61418663	8573342
興 	61399044	838364
हैं 	61393580	82767
einzelnen 	61372987	1707058
325 	61363634	8279637
besides 	61344786	6048819
授 	61340467	1032133
288 	61322676	8639164
politics 	61310125	3965887
mutual 	61295555	5262030
moyen 	61250251	2144710
cio 	61217039	2825441
財 	61211515	832250
residence 	61156641	5113124
break 	61153677	6689660
1880 	61142275	5011888
vertical 	61110753	4339462
圈 	61058033	644299
measurement 	61056020	3839552
root 	61025451	5454141
quella 	61023647	709187
315 	61009503	8234714
alcohol 	61007092	3132099
dice 	61003293	3102685
indicates 	61000348	6127551
bus 	60990285	4969870
268 	60985210	8856682
contributions 	60979213	5767699
conservation 	60972420	3881170
russia 	60969902	3463111
universal 	60966342	6587257
producing 	60965459	5956333
speaker 	60956907	3318308
うこ 	60946976	458893
quien 	60939633	1247167
votre 	60939551	1474410
inner 	60928590	5936681
allfields:m 	60919072	2015156
allfieldsProper:m 	60919002	2015137
態 	60914306	768367
tour 	60897342	5378569
ب 	60892455	363343
allfields:inu 	60853353	1299708
allfieldsProper:inu 	60853349	1299704
客 	60829934	1084274
assigned 	60814808	5783723
weiter 	60790263	1790449
wenig 	60784541	1795206
programme 	60770906	3477678
multiple 	60749159	4888872
割 	60743957	1091750
naval 	60733157	3606354
並 	60727029	809124
299 	60703186	8419255
стр 	60701414	469721
steht 	60697434	1772840
2.0 	60694716	3540915
arrangement 	60679371	6517000
leipzig 	60678119	3317640
ζ 	60663743	145904
salary 	60659209	3288566
fils 	60653245	1962915
markets 	60616367	3572969
compte 	60604927	2070473
fundamental 	60579488	6287454
findings 	60572464	3923202
crops 	60570406	3401160
legislature 	60568397	2814514
含 	60568061	1073749
ко 	60554757	882881
及ひ 	60549649	451273
census 	60549522	3222419
mechanism 	60546651	4072787
そう 	60540121	451122
denied 	60529794	4321456
affect 	60522880	6345752
acquired 	60520259	5762005
politique 	60510497	1794724
ger 	60508203	6536115
每 	60505481	762470
approval 	60500107	4681739
happy 	60493863	5141292
older 	60491421	6053539
opposition 	60485061	5660743
nelle 	60469665	1914029
massachusetts 	60427898	4049926
velocity 	60425086	2122130
possibility 	60414931	6407957
s'il 	60414756	1800815
场 	60400894	389549
identified 	60395675	5679785
straight 	60394399	5828434
troops 	60388481	2790640
274 	60381509	8740392
autem 	60375570	1070598
carrier 	60333052	2954733
towns 	60323796	4614457
vue 	60303820	2393498
eux 	60281778	1868523
pair 	60237845	5694414
physics 	60234078	2746225
chosen 	60225593	6737163
てお 	60220471	505077
dm 	60218845	3010293
δε 	60202261	153799
276 	60199811	8743147
10,000 	60183616	4805530
詩 	60179821	682015
abstract 	60159756	4781732
340 	60149719	7785820
kr 	60134384	2430611
考え 	60124773	391119
strike 	60117232	4739934
colonel 	60104073	3061420
处 	60102870	445399
между 	60077069	581918
geben 	60076426	1856954
отъ 	60072029	153649
ょ 	60069448	566281
изъ 	60028422	148432
chap 	60027840	3886813
282 	60011657	8667836
strongly 	59977919	6242299
draw 	59974503	6648424
heating 	59966486	3054022
illus 	59957675	2953552
essere 	59953639	619060
reactions 	59952776	3592829
zero 	59938164	4283414
enemy 	59929564	3797863
ю 	59921156	1021116
香 	59920256	1077627
えて 	59917142	499740
cependant 	59903043	1641968
durante 	59887709	1964624
nes 	59871526	4721305
liberty 	59859204	4517096
企业 	59855233	129689
falle 	59846322	1980413
allfields:ser 	59844052	582664
allfieldsProper:ser 	59843832	582509
いの 	59835257	492921
unknown 	59832229	6455029
roy 	59823387	4677619
об 	59800513	827249
wise 	59794988	6415688
qu'a 	59758879	1757190
ic 	59743119	5375279
rom 	59740264	4558125
medio 	59738491	2516788
302 	59736967	8134367
变 	59733255	511684
hair 	59721172	4826030
283 	59712729	8682356
possibly 	59705942	6468045
1888 	59693189	4566064
को 	59670124	87807
oben 	59667039	1751761
beauty 	59664170	4382680
组 	59659771	376663
evident 	59636514	7403389
fairly 	59629668	6382797
279 	59618142	8765231
へき 	59607378	504950
従 	59600767	586130
戸 	59574987	654498
ur 	59570105	5986403
exists 	59532085	6271496
pursuant 	59520620	1750537
magazine 	59505030	4358085
understood 	59497708	6456760
compounds 	59485925	2422003
すか 	59481662	503750
bone 	59463490	4192545
structural 	59413079	4023429
alten 	59410329	2054124
membership 	59407293	3660702
ty 	59404936	5685594
竹 	59401389	1048900
cooperation 	59388438	4436021
represents 	59378348	6377025
manufacture 	59372283	4146475
思想 	59361983	769359
satisfactory 	59325104	5726330
leaders 	59261611	4383154
292 	59221833	8463295
anno 	59217302	2528289
调 	59207753	490664
carefully 	59204151	6627821
govern 	59190656	5281423
вы 	59186474	741260
honor 	59181986	4856830
livre 	59173228	2226082
hardly 	59170641	5734535
surtout 	59131278	1704404
judicial 	59118517	3257157
donner 	59117479	2424436
278 	59116051	8677804
伊 	59107958	1048617
dias 	59094490	1911124
surplus 	59072755	4026646
sight 	59070831	5710192
volumes 	59069921	6007961
profits 	59061941	3789089
港 	59060864	1008050
senior 	59058393	4750714
suis 	59055355	2352966
atlantic 	59026072	4068871
idem 	58992798	2122100
289 	58979941	8575484
practices 	58979932	4788029
鼻 	58977420	878386
supra 	58968361	2449652
create 	58967149	6095665
secret 	58953683	5782807
ook 	58944763	842027
ita 	58931060	3166894
包 	58913978	1066405
laquelle 	58903978	1738574
ganze 	58892478	1767483
seul 	58886357	2013543
homme 	58866987	2002883
pleasure 	58853259	5215568
representation 	58848494	5826260
anterior 	58843168	2440508
про 	58829803	684838
poder 	58824907	1369590
